order_id,order_date,ship_date,ship_mode,customer_id,segment,state,region,category,sub_category,sales,quantity,discount,profit
CA-1060,2021-03-13,2021-03-17,Second Class,CUS-870,Consumer,New York,West,Furniture,Tables,1507.89,8,0.1,-130.68
CA-1061,2022-07-07,2022-07-09,Same Day,CUS-328,Corporate,Ohio,West,Furniture,Furnishings,3650.92,9,0.1,-316.41
CA-1062,2022-03-08,2022-03-12,First Class,CUS-958,Home Office,Illinois,South,Furniture,Tables,628.2,2,0.1,-54.44
CA-1063,2022-03-07,2022-03-13,Standard Class,CUS-283,Consumer,Illinois,Central,Technology,Laptops,2839.41,7,0.2,-553.68
CA-1064,2020-04-20,2020-04-20,Same Day,CUS-762,Consumer,Florida,Central,Office Supplies,Binders,86.97,2,0.2,-13.48
CA-1065,2023-05-03,2023-05-08,Second Class,CUS-192,Corporate,Washington,South,Technology,Accessories,4285.56,8,0.1,57.14
CA-1066,2023-11-29,2023-12-05,Standard Class,CUS-612,Home Office,Florida,East,Office Supplies,Appliances,101.89,2,0.0,22.42
CA-1067,2020-08-01,2020-08-08,Standard Class,CUS-155,Corporate,Ohio,East,Furniture,Furnishings,1937.71,9,0.1,-167.93
CA-1068,2020-10-29,2020-11-02,First Class,CUS-155,Corporate,Illinois,West,Office Supplies,Appliances,36.3,1,0.5,-46.47
CA-1069,2022-07-07,2022-07-13,Standard Class,CUS-462,Home Office,New York,Central,Furniture,Tables,1642.08,8,0.2,-484.41
CA-1070,2022-11-28,2022-12-03,Standard Class,CUS-372,Corporate,Texas,East,Furniture,Chairs,4620.57,9,0.0,369.65
CA-1071,2020-04-18,2020-04-21,First Class,CUS-210,Consumer,Washington,East,Technology,Laptops,3693.96,9,0.3,-1709.77
CA-1072,2021-11-22,2021-11-26,Second Class,CUS-419,Home Office,California,East,Furniture,Tables,1082.94,3,0.0,86.64
CA-1073,2021-09-15,2021-09-21,Standard Class,CUS-942,Consumer,California,South,Furniture,Furnishings,203.2,1,0.0,16.26
CA-1074,2022-07-08,2022-07-12,First Class,CUS-105,Home Office,Texas,South,Technology,Laptops,598.33,3,0.2,-116.67
CA-1075,2020-07-12,2020-07-16,First Class,CUS-814,Home Office,California,South,Furniture,Furnishings,2840.5,8,0.3,-1598.79
CA-1076,2020-04-22,2020-04-29,Standard Class,CUS-100,Consumer,Ohio,West,Furniture,Bookcases,1370.92,4,0.1,-118.81
CA-1077,2022-06-20,2022-06-26,Standard Class,CUS-109,Consumer,Michigan,East,Furniture,Furnishings,1210.58,4,0.1,-104.92
CA-1078,2022-02-23,2022-02-28,Standard Class,CUS-649,Corporate,New York,Central,Furniture,Tables,986.31,4,0.2,-290.96
CA-1079,2023-03-06,2023-03-09,First Class,CUS-687,Consumer,Washington,South,Furniture,Tables,404.52,2,0.2,-119.33
CA-1080,2022-03-08,2022-03-15,Standard Class,CUS-824,Corporate,Florida,Central,Furniture,Chairs,3090.5,8,0.3,-1739.51
CA-1081,2020-10-22,2020-10-29,Standard Class,CUS-715,Corporate,Washington,South,Technology,Accessories,6186.35,9,0.0,1113.54
CA-1082,2021-05-17,2021-05-23,Standard Class,CUS-920,Corporate,Michigan,West,Furniture,Bookcases,179.21,1,0.4,-164.88
CA-1083,2022-11-04,2022-11-11,Standard Class,CUS-768,Home Office,Texas,South,Office Supplies,Pens,457.39,7,0.2,-70.9
CA-1084,2022-08-08,2022-08-11,Second Class,CUS-353,Home Office,Ohio,South,Furniture,Tables,2992.34,9,0.0,239.39
CA-1085,2020-08-15,2020-08-17,First Class,CUS-315,Consumer,California,East,Technology,Laptops,3953.05,6,0.0,711.55
CA-1086,2023-08-08,2023-08-14,Standard Class,CUS-910,Consumer,Washington,West,Furniture,Bookcases,369.33,2,0.1,-32.01
CA-1087,2020-10-28,2020-11-01,First Class,CUS-495,Corporate,Ohio,South,Furniture,Furnishings,1999.95,6,0.1,-173.33
CA-1088,2020-05-06,2020-05-12,Standard Class,CUS-703,Consumer,Washington,West,Office Supplies,Paper,264.53,4,0.3,-111.86
CA-1089,2022-03-24,2022-03-27,Second Class,CUS-504,Home Office,Illinois,East,Furniture,Chairs,4806.27,9,0.1,-416.54
CA-1090,2021-10-22,2021-10-26,First Class,CUS-408,Home Office,Michigan,East,Technology,Copiers,2724.88,6,0.1,36.33
CA-1091,2021-01-20,2021-01-25,Second Class,CUS-309,Consumer,Texas,West,Furniture,Furnishings,1028.14,4,0.4,-945.89
CA-1092,2023-04-18,2023-04-24,Standard Class,CUS-600,Home Office,Texas,West,Furniture,Bookcases,824.84,3,0.1,-71.49
CA-1093,2023-01-12,2023-01-17,Standard Class,CUS-788,Home Office,New York,West,Office Supplies,Binders,154.24,2,0.0,33.93
CA-1094,2020-08-02,2020-08-04,Same Day,CUS-990,Home Office,California,Central,Furniture,Tables,3171.27,7,0.0,253.7
CA-1095,2023-10-26,2023-11-02,Standard Class,CUS-293,Consumer,Illinois,West,Office Supplies,Appliances,575.57,8,0.0,126.63
CA-1096,2022-03-10,2022-03-16,Standard Class,CUS-557,Corporate,Michigan,East,Furniture,Chairs,665.57,4,0.4,-612.32
CA-1097,2020-11-08,2020-11-15,Standard Class,CUS-934,Consumer,Washington,Central,Office Supplies,Paper,163.72,2,0.1,8.73
CA-1098,2022-10-03,2022-10-09,Standard Class,CUS-902,Consumer,California,South,Technology,Accessories,1324.23,5,0.2,-258.23
CA-1099,2022-01-04,2022-01-08,First Class,CUS-106,Corporate,Washington,Central,Technology,Laptops,2322.89,4,0.0,418.12
CA-1100,2021-05-28,2021-06-02,Standard Class,CUS-914,Consumer,Florida,South,Furniture,Chairs,1209.04,3,0.1,-104.78
CA-1101,2022-07-22,2022-07-28,Standard Class,CUS-325,Home Office,Michigan,East,Furniture,Bookcases,1757.99,7,0.2,-518.61
CA-1102,2020-05-07,2020-05-10,Second Class,CUS-981,Corporate,Illinois,Central,Office Supplies,Pens,81.95,1,0.1,4.37
CA-1103,2020-01-04,2020-01-08,Second Class,CUS-541,Corporate,Michigan,West,Technology,Laptops,1959.75,9,0.3,-907.08
CA-1104,2020-02-03,2020-02-08,Standard Class,CUS-776,Consumer,New York,South,Office Supplies,Paper,393.41,5,0.1,20.98
CA-1105,2021-12-31,2022-01-06,Standard Class,CUS-367,Home Office,Ohio,Central,Office Supplies,Paper,249.65,5,0.0,54.92
CA-1106,2020-05-09,2020-05-12,First Class,CUS-462,Corporate,New York,South,Furniture,Chairs,1632.75,5,0.1,-141.51
CA-1107,2020-07-05,2020-07-12,Standard Class,CUS-843,Home Office,Florida,Central,Technology,Phones,2222.25,8,0.4,-1822.24
CA-1108,2022-01-20,2022-01-22,Same Day,CUS-838,Home Office,Ohio,South,Furniture,Tables,2027.98,5,0.0,162.24
CA-1109,2021-12-13,2021-12-18,Standard Class,CUS-740,Home Office,New York,East,Office Supplies,Binders,759.8,9,0.0,167.16
CA-1110,2023-12-29,2024-01-04,Standard Class,CUS-201,Corporate,Texas,Central,Furniture,Bookcases,699.15,3,0.0,55.93
CA-1111,2020-01-12,2020-01-15,First Class,CUS-691,Home Office,Florida,West,Furniture,Bookcases,543.46,1,0.1,-47.1
CA-1112,2023-07-15,2023-07-20,Second Class,CUS-670,Home Office,Illinois,West,Office Supplies,Appliances,355.25,6,0.4,-277.09
CA-1113,2023-01-14,2023-01-20,Standard Class,CUS-490,Home Office,Illinois,East,Office Supplies,Appliances,629.72,7,0.1,33.58
CA-1114,2023-05-31,2023-06-06,Standard Class,CUS-471,Consumer,Illinois,South,Technology,Phones,637.14,2,0.3,-294.9
CA-1115,2023-01-26,2023-01-31,Second Class,CUS-904,Corporate,Ohio,South,Office Supplies,Paper,381.12,8,0.0,83.85
CA-1116,2022-07-09,2022-07-14,Standard Class,CUS-821,Home Office,Michigan,South,Furniture,Tables,2403.99,8,0.3,-1353.1
CA-1117,2023-03-10,2023-03-16,Standard Class,CUS-515,Corporate,Texas,East,Furniture,Chairs,250.85,2,0.4,-230.78
CA-1118,2021-11-27,2021-12-04,Standard Class,CUS-476,Corporate,Ohio,South,Office Supplies,Pens,53.4,1,0.1,2.85
CA-1119,2020-11-19,2020-11-25,Standard Class,CUS-392,Home Office,California,South,Office Supplies,Binders,39.51,1,0.0,8.69
CA-1120,2020-07-05,2020-07-11,Standard Class,CUS-904,Corporate,Michigan,West,Technology,Phones,439.73,1,0.0,79.15
CA-1121,2023-03-22,2023-03-24,Same Day,CUS-663,Corporate,Michigan,Central,Office Supplies,Pens,408.22,8,0.2,-63.27
CA-1122,2020-08-13,2020-08-16,Second Class,CUS-317,Consumer,Florida,Central,Technology,Copiers,1504.41,3,0.0,270.79
CA-1123,2021-02-22,2021-02-25,First Class,CUS-949,Corporate,Ohio,South,Technology,Laptops,2901.07,7,0.4,-2378.88
CA-1124,2023-07-14,2023-07-19,Standard Class,CUS-422,Home Office,Illinois,Central,Office Supplies,Pens,585.79,9,0.1,31.24
CA-1125,2023-11-19,2023-11-21,Same Day,CUS-325,Home Office,Washington,West,Technology,Phones,2202.21,9,0.4,-1805.81
CA-1126,2022-08-30,2022-09-02,Second Class,CUS-692,Home Office,New York,East,Furniture,Bookcases,468.89,2,0.0,37.51
CA-1127,2023-08-05,2023-08-11,Standard Class,CUS-315,Corporate,New York,Central,Technology,Phones,1001.72,3,0.2,-195.34
CA-1128,2021-02-25,2021-03-01,First Class,CUS-232,Home Office,California,West,Office Supplies,Storage,857.22,9,0.0,188.59
CA-1129,2020-12-21,2020-12-24,First Class,CUS-817,Home Office,New York,West,Office Supplies,Paper,412.79,5,0.0,90.81
CA-1130,2022-05-15,2022-05-20,Standard Class,CUS-774,Corporate,Ohio,South,Office Supplies,Storage,70.07,1,0.0,15.42
CA-1131,2023-05-30,2023-06-04,Standard Class,CUS-377,Home Office,Illinois,East,Technology,Accessories,662.97,2,0.2,-129.28
CA-1132,2020-01-22,2020-01-28,Standard Class,CUS-219,Home Office,Washington,East,Office Supplies,Storage,432.99,6,0.1,23.09
CA-1133,2020-01-29,2020-01-31,Same Day,CUS-132,Home Office,Washington,East,Technology,Laptops,1629.43,3,0.0,293.3
CA-1134,2023-01-27,2023-02-01,Standard Class,CUS-588,Home Office,Michigan,Central,Technology,Accessories,379.55,2,0.5,-501.01
CA-1135,2022-04-28,2022-05-04,Standard Class,CUS-847,Consumer,Illinois,West,Technology,Accessories,1268.28,2,0.0,228.29
CA-1136,2023-11-11,2023-11-18,Standard Class,CUS-356,Home Office,Texas,West,Technology,Phones,1771.09,4,0.0,318.8
CA-1137,2023-07-18,2023-07-25,Standard Class,CUS-683,Corporate,Illinois,South,Technology,Laptops,572.35,1,0.0,103.02
CA-1138,2022-08-17,2022-08-20,Second Class,CUS-635,Consumer,Michigan,West,Technology,Phones,1004.99,2,0.2,-195.97
CA-1139,2021-06-04,2021-06-10,Standard Class,CUS-930,Corporate,Ohio,Central,Office Supplies,Pens,226.87,7,0.2,-35.17
CA-1140,2023-09-05,2023-09-09,Second Class,CUS-465,Corporate,Texas,West,Office Supplies,Appliances,32.79,1,0.0,7.21
CA-1141,2023-01-16,2023-01-18,First Class,CUS-500,Consumer,Ohio,West,Office Supplies,Pens,281.03,9,0.1,14.99
CA-1142,2020-08-29,2020-09-03,Standard Class,CUS-101,Home Office,Ohio,Central,Technology,Laptops,1166.11,4,0.3,-539.74
CA-1143,2020-03-30,2020-04-05,Standard Class,CUS-221,Corporate,Washington,West,Furniture,Chairs,1010.67,6,0.5,-1435.15
CA-1144,2023-01-01,2023-01-06,Second Class,CUS-322,Home Office,Illinois,East,Office Supplies,Paper,250.95,3,0.1,13.38
CA-1145,2023-11-14,2023-11-18,Second Class,CUS-121,Corporate,Washington,Central,Furniture,Tables,3029.35,7,0.1,-262.54
CA-1146,2022-06-27,2022-07-02,Standard Class,CUS-400,Consumer,Ohio,South,Furniture,Bookcases,451.3,2,0.0,36.1
CA-1147,2022-07-02,2022-07-09,Standard Class,CUS-761,Corporate,Illinois,South,Furniture,Bookcases,2690.12,7,0.0,215.21
CA-1148,2023-05-15,2023-05-18,Second Class,CUS-431,Home Office,New York,West,Furniture,Furnishings,1467.29,3,0.0,117.38
CA-1149,2021-06-15,2021-06-19,Second Class,CUS-788,Corporate,Washington,South,Technology,Phones,2082.13,5,0.0,374.78
CA-1150,2020-10-21,2020-10-25,Second Class,CUS-854,Corporate,Illinois,Central,Furniture,Chairs,1370.89,4,0.4,-1261.22
CA-1151,2020-04-09,2020-04-13,Second Class,CUS-698,Home Office,Illinois,West,Furniture,Tables,2557.87,5,0.0,204.63
CA-1152,2021-01-15,2021-01-22,Standard Class,CUS-113,Corporate,Florida,East,Furniture,Tables,2455.31,6,0.0,196.42
CA-1153,2023-06-06,2023-06-11,Standard Class,CUS-548,Corporate,California,Central,Furniture,Chairs,5508.0,9,0.0,440.64
CA-1154,2022-04-23,2022-04-29,Standard Class,CUS-460,Home Office,Texas,West,Office Supplies,Storage,186.17,3,0.0,40.96
CA-1155,2021-11-17,2021-11-19,First Class,CUS-303,Home Office,California,Central,Furniture,Furnishings,1627.43,6,0.0,130.19
CA-1156,2021-05-25,2021-05-27,First Class,CUS-119,Home Office,Washington,Central,Furniture,Chairs,1258.57,4,0.0,100.69
CA-1157,2022-11-01,2022-11-07,Standard Class,CUS-375,Home Office,Florida,South,Technology,Phones,1317.1,5,0.1,17.56
CA-1158,2021-03-02,2021-03-03,Same Day,CUS-527,Corporate,New York,South,Office Supplies,Pens,643.03,9,0.0,141.47
CA-1159,2023-09-26,2023-10-01,Standard Class,CUS-875,Corporate,Illinois,Central,Furniture,Bookcases,457.26,2,0.2,-134.89
CA-1160,2023-12-08,2023-12-14,Standard Class,CUS-244,Home Office,New York,West,Technology,Laptops,400.46,1,0.4,-328.38
CA-1161,2022-12-12,2022-12-14,First Class,CUS-460,Home Office,Ohio,Central,Office Supplies,Binders,312.01,4,0.0,68.64
CA-1162,2022-02-19,2022-02-22,Second Class,CUS-856,Corporate,Michigan,East,Technology,Copiers,3068.48,9,0.5,-4050.39
CA-1163,2021-01-31,2021-02-05,Standard Class,CUS-378,Corporate,Ohio,South,Furniture,Chairs,1354.44,4,0.3,-762.35
CA-1164,2021-12-11,2021-12-18,Standard Class,CUS-927,Corporate,California,West,Furniture,Bookcases,1689.74,5,0.0,135.18
CA-1165,2022-08-19,2022-08-25,Standard Class,CUS-876,Consumer,Ohio,West,Furniture,Chairs,651.82,3,0.2,-192.29
CA-1166,2023-08-09,2023-08-16,Standard Class,CUS-399,Corporate,Florida,Central,Furniture,Tables,3254.25,9,0.0,260.34
CA-1167,2023-02-14,2023-02-18,First Class,CUS-892,Home Office,New York,Central,Furniture,Bookcases,1416.03,5,0.0,113.28
CA-1168,2021-01-07,2021-01-13,Standard Class,CUS-638,Consumer,Texas,South,Office Supplies,Pens,69.3,2,0.2,-10.74
CA-1169,2023-09-30,2023-10-04,Second Class,CUS-558,Corporate,New York,South,Office Supplies,Storage,90.97,2,0.1,4.85
CA-1170,2022-08-09,2022-08-15,Standard Class,CUS-874,Home Office,Michigan,East,Technology,Copiers,5157.1,8,0.0,928.28
CA-1171,2023-05-28,2023-05-31,Second Class,CUS-125,Consumer,Texas,Central,Office Supplies,Storage,474.91,7,0.1,25.33
CA-1172,2022-05-08,2022-05-13,Standard Class,CUS-679,Corporate,New York,Central,Technology,Laptops,4555.23,8,0.1,60.74
CA-1173,2020-08-29,2020-09-01,Second Class,CUS-786,Home Office,New York,Central,Technology,Accessories,1507.05,3,0.1,20.09
CA-1174,2022-09-14,2022-09-21,Standard Class,CUS-259,Consumer,California,East,Technology,Copiers,1209.86,6,0.2,-235.92
CA-1175,2023-10-29,2023-11-03,Standard Class,CUS-266,Consumer,Ohio,East,Furniture,Chairs,5578.28,9,0.0,446.26
CA-1176,2022-10-02,2022-10-07,Standard Class,CUS-452,Corporate,New York,South,Office Supplies,Pens,427.98,6,0.0,94.16
CA-1177,2022-08-13,2022-08-18,Standard Class,CUS-527,Consumer,California,Central,Furniture,Chairs,1445.89,7,0.1,-125.31
CA-1178,2020-12-07,2020-12-13,Standard Class,CUS-229,Corporate,Texas,Central,Technology,Phones,1931.71,6,0.1,25.76
CA-1179,2021-03-28,2021-03-28,Same Day,CUS-576,Consumer,Michigan,East,Office Supplies,Paper,129.92,4,0.1,6.93
CA-1180,2022-09-06,2022-09-13,Standard Class,CUS-755,Corporate,California,South,Office Supplies,Binders,583.93,7,0.0,128.46
CA-1181,2020-10-12,2020-10-17,Standard Class,CUS-183,Home Office,Florida,Central,Furniture,Bookcases,2138.31,4,0.1,-185.32
CA-1182,2021-04-25,2021-04-29,First Class,CUS-213,Home Office,Florida,Central,Furniture,Tables,1606.23,6,0.0,128.5
CA-1183,2023-12-01,2023-12-04,First Class,CUS-295,Corporate,California,West,Furniture,Chairs,329.85,1,0.0,26.39
CA-1184,2021-07-14,2021-07-20,Standard Class,CUS-777,Home Office,Washington,East,Office Supplies,Pens,263.65,5,0.1,14.06
CA-1185,2020-03-13,2020-03-17,First Class,CUS-504,Corporate,Ohio,East,Office Supplies,Pens,257.17,3,0.0,56.58
CA-1186,2022-03-03,2022-03-08,Standard Class,CUS-921,Home Office,Washington,East,Technology,Accessories,793.65,2,0.3,-367.35
CA-1187,2022-11-14,2022-11-17,Second Class,CUS-216,Consumer,Ohio,East,Technology,Accessories,1985.23,4,0.0,357.34
CA-1188,2021-01-24,2021-01-29,Standard Class,CUS-142,Consumer,Florida,East,Technology,Phones,1856.6,4,0.0,334.19
CA-1189,2021-01-16,2021-01-23,Standard Class,CUS-789,Home Office,Florida,South,Furniture,Furnishings,844.52,3,0.0,67.56
CA-1190,2022-06-01,2022-06-08,Standard Class,CUS-179,Consumer,California,South,Technology,Copiers,583.93,3,0.3,-270.27
CA-1191,2021-02-23,2021-03-01,Standard Class,CUS-330,Home Office,Florida,Central,Office Supplies,Binders,329.1,7,0.0,72.4
CA-1192,2021-03-30,2021-04-04,Standard Class,CUS-697,Home Office,Florida,Central,Office Supplies,Appliances,153.92,3,0.1,8.21
CA-1193,2023-12-17,2023-12-22,Standard Class,CUS-164,Home Office,Ohio,East,Office Supplies,Paper,418.5,5,0.0,92.07
CA-1194,2022-09-21,2022-09-21,Same Day,CUS-799,Consumer,New York,East,Technology,Laptops,3282.23,5,0.1,43.76
CA-1195,2021-08-16,2021-08-23,Standard Class,CUS-844,Home Office,Ohio,Central,Furniture,Chairs,2269.92,4,0.0,181.59
CA-1196,2021-01-27,2021-01-30,Second Class,CUS-228,Corporate,Florida,East,Furniture,Chairs,424.21,1,0.3,-238.77
CA-1197,2022-03-12,2022-03-16,First Class,CUS-825,Corporate,Illinois,West,Office Supplies,Appliances,405.63,8,0.2,-62.87
CA-1198,2020-04-10,2020-04-15,Standard Class,CUS-299,Home Office,Texas,West,Furniture,Bookcases,2310.35,5,0.1,-200.23
CA-1199,2020-08-19,2020-08-22,First Class,CUS-465,Consumer,Texas,West,Technology,Accessories,1858.62,8,0.1,24.78
CA-1200,2020-12-15,2020-12-19,Second Class,CUS-451,Home Office,Washington,South,Office Supplies,Storage,131.52,3,0.0,28.93
CA-1201,2022-07-09,2022-07-14,Standard Class,CUS-562,Home Office,Washington,East,Technology,Laptops,273.48,1,0.3,-126.58
CA-1202,2022-02-05,2022-02-11,Standard Class,CUS-877,Corporate,California,Central,Technology,Phones,5909.04,9,0.1,78.79
CA-1203,2022-07-24,2022-07-28,Second Class,CUS-282,Corporate,Florida,South,Office Supplies,Storage,81.42,2,0.0,17.91
CA-1204,2023-04-10,2023-04-17,Standard Class,CUS-785,Corporate,California,South,Technology,Copiers,1441.94,2,0.0,259.55
